Days Since 2010, Injected, Date, Day, Weight (lb), Weight (2023),Delta,Delta 2023
3340,true,2019-03-27,03-27,417.6,,,
3341,true,2019-03-28,03-28,417.7,,,
3342,true,2019-03-29,03-29,417.8,,,
3343,true,2019-03-30,03-30,417.9,,,
3344,true,2019-03-31,03-31,418.1,,,
3345,true,2019-04-01,04-01,418.2,,,
3346,true,2019-04-02,04-02,418.3,,,
3347,true,2019-04-03,04-03,418.4,,,
3348,true,2019-04-04,04-04,418.5,,,
3349,true,2019-04-05,04-05,418.7,,,
3350,true,2019-04-06,04-06,418.8,,,
3351,true,2019-04-07,04-07,418.9,,,
3352,true,2019-04-08,04-08,419,,,
3353,true,2019-04-09,04-09,419.1,,,
3354,true,2019-04-10,04-10,419.3,,,
3355,true,2019-04-11,04-11,419.4,,,
3357,,2019-04-12,04-12,419.5,,,
3357,true,2019-04-13,04-13,417.8,,,
3359,,2019-04-14,04-14,416.1,,,
3360,,2019-04-15,04-15,415.1,,,
3361,,2019-04-16,04-16,418.2,,,
3362,,2019-04-17,04-17,419.9,,,
3363,,2019-04-18,04-18,419.8,,,
3364,,2019-04-19,04-19,421.7,,,
3364,true,2019-04-20,04-20,421.8,,,
3366,,2019-04-21,04-21,421.9,,,
3367,,2019-04-22,04-22,424.1,,,
3368,,2019-04-23,04-23,423.6,,,
3369,,2019-04-24,04-24,426.8,,,
3370,,2019-04-25,04-25,425.5,,,
3370,true,2019-04-26,04-26,424,,,
3372,,2019-04-27,04-27,422.4,,,
3373,,2019-04-28,04-28,418.1,,,
3374,,2019-04-29,04-29,426.8,,,
3375,,2019-04-30,04-30,419.4,,,
3376,,2019-05-01,05-01,418.9,,,
3377,,2019-05-02,05-02,418.5,,,
3378,,2019-05-03,05-03,420.5,,,
3379,,2019-05-04,05-04,420.1,,,
3380,,2019-05-05,05-05,421.2,,,
3381,,2019-05-06,05-06,420.6,,,
3382,,2019-05-07,05-07,422.3,,,
3383,,2019-05-08,05-08,419.4,,,
3383,true,2019-05-09,05-09,420.5,,,
3385,,2019-05-10,05-10,421.5,,,
3386,,2019-05-11,05-11,420,,,
3387,,2019-05-12,05-12,416.8,,,
3388,,2019-05-13,05-13,421.1,,,
3389,,2019-05-14,05-14,424.6,,,
3389,true,2019-05-15,05-15,422.8,,,
3390,true,2019-05-16,05-16,421.1,,,
3392,,2019-05-17,05-17,419.3,,,
3393,,2019-05-18,05-18,418.3,,,
3393,true,2019-05-19,05-19,416.1,,,
3395,,2019-05-20,05-20,413.8,,,
3396,,2019-05-21,05-21,417.4,,,
3397,,2019-05-22,05-22,418,,,
3398,,2019-05-23,05-23,419.9,,,
3399,,2019-05-24,05-24,420.9,,,
3400,,2019-05-25,05-25,421.5,,,
3401,,2019-05-26,05-26,423.1,,,
3402,,2019-05-27,05-27,420.3,,,
3403,,2019-05-28,05-28,417.8,,,
3404,,2019-05-29,05-29,417.8,,,
3405,,2019-05-30,05-30,418.7,,,
3406,,2019-05-31,05-31,419.8,,,
3407,,2019-06-01,06-01,420.8,,,
3407,true,2019-06-02,06-02,419.3,,,
3409,,2019-06-03,06-03,417.7,,,
3410,,2019-06-04,06-04,418.8,,,
3411,,2019-06-05,06-05,417.9,,,
3412,,2019-06-06,06-06,423.5,,,
3413,,2019-06-07,06-07,419.3,,,
3414,,2019-06-08,06-08,420.4,,,
3415,,2019-06-09,06-09,418.8,,,
3416,,2019-06-10,06-10,421.2,,,
3417,,2019-06-11,06-11,425.2,,,
3418,,2019-06-12,06-12,420.5,,,
3419,,2019-06-13,06-13,421.7,,,
3420,,2019-06-14,06-14,424.7,,,
3421,,2019-06-15,06-15,420.9,,,
3421,true,2019-06-16,06-16,418.7,,,
3423,,2019-06-17,06-17,416.5,,,
3424,,2019-06-18,06-18,415.2,,,
3425,,2019-06-19,06-19,420,,,
3426,,2019-06-20,06-20,418.3,,,
3427,,2019-06-21,06-21,415.5,,,
3428,,2019-06-22,06-22,419.5,,,
3428,true,2019-06-23,06-23,419.9,,,
3430,,2019-06-24,06-24,420.2,,,
3431,,2019-06-25,06-25,427.9,,,
3432,,2019-06-26,06-26,419.4,,,
3433,,2019-06-27,06-27,415.9,,,
3434,,2019-06-28,06-28,418.8,,,
3435,,2019-06-29,06-29,416.3,,,
3435,true,2019-06-30,06-30,417.4,,,
3436,true,2019-07-01,07-01,418.5,,,
3438,,2019-07-02,07-02,419.6,,,
3439,,2019-07-03,07-03,418,,,
3440,,2019-07-04,07-04,419,,,
3441,,2019-07-05,07-05,421.2,,,
3442,,2019-07-06,07-06,423.9,,,
3442,true,2019-07-07,07-07,420.5,,,
3444,,2019-07-08,07-08,417,,,
3445,,2019-07-09,07-09,421.4,,,
3446,,2019-07-10,07-10,419.6,,,
3447,,2019-07-11,07-11,421.4,,,
3448,,2019-07-12,07-12,423.6,,,
3448,true,2019-07-13,07-13,421.7,,,
3450,,2019-07-14,07-14,419.8,,,
3451,,2019-07-15,07-15,421.7,,,
3452,,2019-07-16,07-16,423.3,,,
3453,,2019-07-17,07-17,421.3,,,
3454,,2019-07-18,07-18,421.7,,,
3455,,2019-07-19,07-19,423.1,,,
3456,,2019-07-20,07-20,422.2,,,
3457,,2019-07-21,07-21,418.5,,,
3458,,2019-07-22,07-22,417.9,,,
3459,,2019-07-23,07-23,417.8,,,
3460,,2019-07-24,07-24,420.3,,,
3461,,2019-07-25,07-25,422.3,,,
3462,,2019-07-26,07-26,424.7,,,
3463,,2019-07-27,07-27,424.6,,,
3463,true,2019-07-28,07-28,424.1,,,
3465,,2019-07-29,07-29,423.6,,,
3466,,2019-07-30,07-30,423,,,
3467,,2019-07-31,07-31,423.1,,,
3468,,2019-08-01,08-01,420,,,
3469,,2019-08-02,08-02,420.1,,,
3470,,2019-08-03,08-03,424.9,,,
3471,,2019-08-04,08-04,419.1,,,
3472,,2019-08-05,08-05,420.5,,,
3473,,2019-08-06,08-06,422.2,,,
3474,,2019-08-07,08-07,422.5,,,
3475,,2019-08-08,08-08,425.4,,,
3476,,2019-08-09,08-09,423.7,,,
3476,true,2019-08-10,08-10,423.1,,,
3477,true,2019-08-11,08-11,422.5,,,
3479,,2019-08-12,08-12,421.9,,,
3480,,2019-08-13,08-13,423.2,,,
3481,,2019-08-14,08-14,423.7,,,
3482,,2019-08-15,08-15,422.5,,,
3482,true,2019-08-16,08-16,424.2,,,
3483,true,2019-08-17,08-17,425.8,,,
3485,,2019-08-18,08-18,427.5,,,
3486,,2019-08-19,08-19,428.6,,,
3487,,2019-08-20,08-20,427,,,
3488,,2019-08-21,08-21,425.6,,,
3488,true,2019-08-22,08-22,426.2,,,
3490,,2019-08-23,08-23,426.7,,,
3490,true,2019-08-24,08-24,427.6,,,
3491,true,2019-08-25,08-25,428.6,,,
3493,,2019-08-26,08-26,429.5,,,
3494,,2019-08-27,08-27,428.9,,,
3495,,2019-08-28,08-28,428.8,,,
3496,,2019-08-29,08-29,428.6,,,
3497,,2019-08-30,08-30,428.6,,,
3497,true,2019-08-31,08-31,428.1,,,
3498,true,2019-09-01,09-01,427.5,,,
3499,true,2019-09-02,09-02,427,,,
3501,,2019-09-03,09-03,426.4,,,
3501,true,2019-09-04,09-04,426.6,,,
3502,true,2019-09-05,09-05,426.8,,,
3504,,2019-09-06,09-06,427,,,
3505,,2019-09-07,09-07,426.8,,,
3506,,2019-09-08,09-08,426.9,,,
3507,,2019-09-09,09-09,423.2,,,
3508,,2019-09-10,09-10,426.2,,,
3508,true,2019-09-11,09-11,426.4,,,
3509,true,2019-09-12,09-12,426.6,,,
3511,,2019-09-13,09-13,426.8,,,
3512,,2019-09-14,09-14,427.9,,,
3512,true,2019-09-15,09-15,432.5,,,
3514,,2019-09-16,09-16,437.1,,,
3515,,2019-09-17,09-17,429.3,,,
3516,,2019-09-18,09-18,429.8,,,
3517,,2019-09-19,09-19,431.1,,,
3517,true,2019-09-20,09-20,430.6,,,
3519,,2019-09-21,09-21,430.1,,,
3519,true,2019-09-22,09-22,429.6,,,
3521,,2019-09-23,09-23,429.1,,,
3522,,2019-09-24,09-24,431.1,,,
3523,,2019-09-25,09-25,430.9,,,
3524,,2019-09-26,09-26,428,,,
3525,,2019-09-27,09-27,427.1,,,
3526,,2019-09-28,09-28,427.9,,,
3526,true,2019-09-29,09-29,426.4,,,
3528,,2019-09-30,09-30,424.9,,,
3529,,2019-10-01,10-01,425.6,,,
3530,,2019-10-02,10-02,432,,,
3531,,2019-10-03,10-03,427.5,,,
3532,,2019-10-04,10-04,428.5,,,
3533,,2019-10-05,10-05,432.1,,,
3533,true,2019-10-06,10-06,429.9,,,
3535,,2019-10-07,10-07,427.6,,,
3536,,2019-10-08,10-08,429.5,,,
3537,,2019-10-09,10-09,430.7,,,
3538,,2019-10-10,10-10,431.3,,,
3539,,2019-10-11,10-11,429,,,
3539,true,2019-10-12,10-12,426.6,,,
3541,,2019-10-13,10-13,424.1,,,
3542,,2019-10-14,10-14,427.4,,,
3543,,2019-10-15,10-15,428.8,,,
3544,,2019-10-16,10-16,429.2,,,
3545,,2019-10-17,10-17,427.1,,,
3546,,2019-10-18,10-18,427.8,,,
3547,,2019-10-19,10-19,424.2,,,
3547,true,2019-10-20,10-20,424.7,,,
3549,,2019-10-21,10-21,425.2,,,
3550,,2019-10-22,10-22,424.4,,,
3551,,2019-10-23,10-23,431.8,,,
3552,,2019-10-24,10-24,426.3,,,
3553,,2019-10-25,10-25,424.8,,,
3554,,2019-10-26,10-26,428.1,,,
3554,true,2019-10-27,10-27,426.9,,,
3556,,2019-10-28,10-28,425.6,,,
3557,,2019-10-29,10-29,424.8,,,
3557,true,2019-10-30,10-30,427.1,,,
3559,,2019-10-31,10-31,429.3,,,
3560,,2019-11-01,11-01,430.7,,,
3560,true,2019-11-02,11-02,430,,,
3561,true,2019-11-03,11-03,429.2,,,
3563,,2019-11-04,11-04,428.5,,,
3563,true,2019-11-05,11-05,430.2,,,
3565,,2019-11-06,11-06,431.9,,,
3566,,2019-11-07,11-07,429.8,,,
3567,,2019-11-08,11-08,430.6,,,
3567,true,2019-11-09,11-09,430.9,,,
3569,,2019-11-10,11-10,431.1,,,
3570,,2019-11-11,11-11,430.1,,,
3570,true,2019-11-12,11-12,430.4,,,
3571,true,2019-11-13,11-13,430.6,,,
3572,true,2019-11-14,11-14,430.9,,,
3573,true,2019-11-15,11-15,431.1,,,
3574,true,2019-11-16,11-16,431.4,,,
3575,true,2019-11-17,11-17,431.7,,,
3576,true,2019-11-18,11-18,431.9,,,
3577,true,2019-11-19,11-19,432.2,,,
3578,true,2019-11-20,11-20,432.4,,,
3579,true,2019-11-21,11-21,432.7,,,
3580,true,2019-11-22,11-22,432.9,,,
3581,true,2019-11-23,11-23,433.2,,,
3582,true,2019-11-24,11-24,433.5,,,
3583,true,2019-11-25,11-25,433.7,,,
3584,true,2019-11-26,11-26,434,,,
3585,true,2019-11-27,11-27,434.2,,,
3586,true,2019-11-28,11-28,434.5,,,
3587,true,2019-11-29,11-29,434.8,,,
3588,true,2019-11-30,11-30,435,,,
3589,true,2019-12-01,12-01,435.3,,,
3590,true,2019-12-02,12-02,435.5,,,
3591,true,2019-12-03,12-03,435.8,,,
3592,true,2019-12-04,12-04,436.1,,,
3593,true,2019-12-05,12-05,436.3,,,
3594,true,2019-12-06,12-06,436.6,,,
3595,true,2019-12-07,12-07,436.8,,,
3596,true,2019-12-08,12-08,437.1,,,
3597,true,2019-12-09,12-09,437.4,,,
3598,true,2019-12-10,12-10,437.6,,,
3599,true,2019-12-11,12-11,437.9,,,
3600,true,2019-12-12,12-12,438.1,,,
3601,true,2019-12-13,12-13,438.4,,,
3602,true,2019-12-14,12-14,438.6,,,
3603,true,2019-12-15,12-15,438.9,,,
3604,true,2019-12-16,12-16,439.2,,,
3605,true,2019-12-17,12-17,439.4,,,
3606,true,2019-12-18,12-18,439.7,,,
3607,true,2019-12-19,12-19,439.9,,,
3608,true,2019-12-20,12-20,440.2,,,
3609,true,2019-12-21,12-21,440.5,,,
3610,true,2019-12-22,12-22,440.7,,,
3611,true,2019-12-23,12-23,441,,,
3612,true,2019-12-24,12-24,441.2,,,
3613,true,2019-12-25,12-25,441.5,,,
3614,true,2019-12-26,12-26,441.8,,,
3615,true,2019-12-27,12-27,442,,,
3616,true,2019-12-28,12-28,442.3,,,
3617,true,2019-12-29,12-29,442.5,,,
3618,true,2019-12-30,12-30,442.8,,,
3619,true,2019-12-31,12-31,443,,,
3620,true,2020-01-01,01-01,443.3,,,
3621,true,2020-01-02,01-02,443.6,,-28.099999999999966,
3622,true,2020-01-03,01-03,443.8,,-27.899999999999977,
3623,true,2020-01-04,01-04,444.1,,-27.599999999999966,
3624,true,2020-01-05,01-05,444.3,,-27.399999999999977,
3625,true,2020-01-06,01-06,444.6,,-27.099999999999966,
3626,true,2020-01-07,01-07,444.9,,-26.80000000000001,
3627,true,2020-01-08,01-08,445.1,,-26.599999999999966,
3628,true,2020-01-09,01-09,445.4,,-26.30000000000001,
3629,true,2020-01-10,01-10,445.6,,-26.099999999999966,
3630,true,2020-01-11,01-11,445.9,,-25.80000000000001,
3631,true,2020-01-12,01-12,446.2,,-25.5,
3632,true,2020-01-13,01-13,446.4,,-25.30000000000001,
3633,true,2020-01-14,01-14,446.7,,-25,
3634,true,2020-01-15,01-15,446.9,,-24.80000000000001,
3635,true,2020-01-16,01-16,447.2,,-24.5,
3636,true,2020-01-17,01-17,447.5,,-24.19999999999999,
3637,true,2020-01-18,01-18,447.7,,-24,
3638,true,2020-01-19,01-19,448,,-23.69999999999999,
3639,true,2020-01-20,01-20,448.2,,-23.5,
3640,true,2020-01-21,01-21,448.5,,-23.19999999999999,
3641,true,2020-01-22,01-22,448.7,,-23,
3642,true,2020-01-23,01-23,449,,-22.69999999999999,
3643,true,2020-01-24,01-24,449.3,,-22.399999999999977,
3644,true,2020-01-25,01-25,449.5,,-22.19999999999999,
3645,true,2020-01-26,01-26,449.8,,-21.899999999999977,
3646,true,2020-01-27,01-27,450,,-21.69999999999999,
3648,,2020-01-28,01-28,450.3,,-21.399999999999977,
3649,,2020-01-29,01-29,450.1,,-21.599999999999966,
3650,,2020-01-30,01-30,448.3,,-23.399999999999977,
3651,,2020-01-31,01-31,443.8,,-27.899999999999977,
3652,,2020-02-01,02-01,442.6,,-29.099999999999966,
3652,true,2020-02-02,02-02,441.1,,-30.599999999999966,
3654,,2020-02-03,02-03,439.5,,-32.19999999999999,
3655,,2020-02-04,02-04,441.9,,-29.80000000000001,
3656,,2020-02-05,02-05,443.2,,-28.5,
3657,,2020-02-06,02-06,443.1,,-28.599999999999966,
3658,,2020-02-07,02-07,445.1,,-26.599999999999966,
3659,,2020-02-08,02-08,442.9,,-28.80000000000001,
3659,true,2020-02-09,02-09,441.6,,-30.099999999999966,
3661,,2020-02-10,02-10,440.2,,-31.5,
3662,,2020-02-11,02-11,444.3,,-27.399999999999977,
3663,,2020-02-12,02-12,442.4,,-29.30000000000001,
3664,,2020-02-13,02-13,443.1,,-28.599999999999966,
3665,,2020-02-14,02-14,440.8,,-30.899999999999977,
3666,,2020-02-15,02-15,442.8,,-28.899999999999977,
3666,true,2020-02-16,02-16,441.6,,-30.099999999999966,
3668,,2020-02-17,02-17,440.3,,-31.399999999999977,
3669,,2020-02-18,02-18,441.1,,-30.599999999999966,
3670,,2020-02-19,02-19,443.8,,-27.899999999999977,
3671,,2020-02-20,02-20,446.3,,-25.399999999999977,
3672,,2020-02-21,02-21,444.3,,-27.399999999999977,
3673,,2020-02-22,02-22,443.9,,-27.80000000000001,
3673,true,2020-02-23,02-23,443.4,,-28.30000000000001,
3675,,2020-02-24,02-24,442.8,,-28.899999999999977,
3676,,2020-02-25,02-25,444.6,,-27.099999999999966,
3677,,2020-02-26,02-26,445.2,,-26.5,
3678,,2020-02-27,02-27,446.2,,-25.5,
3679,,2020-02-28,02-28,445.9,,-25.80000000000001,
3680,,2020-02-29,02-29,445.1,,-26.599999999999966,
3680,true,2020-03-01,03-01,445,,-26.69999999999999,
3681,true,2020-03-02,03-02,444.8,,-26.899999999999977,
3683,,2020-03-03,03-03,444.7,,-27,
3684,,2020-03-04,03-04,444.8,,-26.899999999999977,
3685,,2020-03-05,03-05,444.6,,-27.099999999999966,
3686,,2020-03-06,03-06,446.8,,-24.899999999999977,
3687,,2020-03-07,03-07,449.5,,-22.19999999999999,
3687,true,2020-03-08,03-08,448.3,,-23.399999999999977,
3688,true,2020-03-09,03-09,447,,-24.69999999999999,
3690,,2020-03-10,03-10,445.8,,-25.899999999999977,
3691,,2020-03-11,03-11,447.2,,-24.5,
3692,,2020-03-12,03-12,447.5,,-24.19999999999999,
3693,,2020-03-13,03-13,446.8,,-24.899999999999977,
3694,,2020-03-14,03-14,446.2,,-25.5,
3694,true,2020-03-15,03-15,444.5,,-27.19999999999999,
3696,,2020-03-16,03-16,442.7,,-29,
3697,,2020-03-17,03-17,443.9,,-27.80000000000001,
3698,,2020-03-18,03-18,445,,-26.69999999999999,
3698,true,2020-03-19,03-19,444.8,,-26.899999999999977,
3700,,2020-03-20,03-20,444.6,,-27.099999999999966,
3700,true,2020-03-21,03-21,443.5,,-28.19999999999999,
3701,true,2020-03-22,03-22,442.3,,-29.399999999999977,
3702,true,2020-03-23,03-23,441.2,,-30.5,
3704,,2020-03-24,03-24,440,,-31.69999999999999,
3705,,2020-03-25,03-25,444,,-27.69999999999999,
3705,true,2020-03-26,03-26,444,,-27.69999999999999,
3707,,2020-03-27,03-27,443.9,,-27.80000000000001,
3707,true,2020-03-28,03-28,442,,-29.69999999999999,
3708,true,2020-03-29,03-29,440,,-31.69999999999999,
3710,,2020-03-30,03-30,438.1,,-33.599999999999966,
3711,,2020-03-31,03-31,439.8,,-31.899999999999977,
3712,,2020-04-01,04-01,443.9,,-27.80000000000001,
3713,,2020-04-02,04-02,447.3,,-24.399999999999977,
3714,,2020-04-03,04-03,445.7,,-26,
3714,true,2020-04-04,04-04,444,,-27.69999999999999,
3715,true,2020-04-05,04-05,442.4,,-29.30000000000001,
3717,,2020-04-06,04-06,440.7,,-31,
3718,,2020-04-07,04-07,444.2,,-27.5,
3719,,2020-04-08,04-08,449.9,,-21.80000000000001,
3720,,2020-04-09,04-09,444.8,,-26.899999999999977,
3721,,2020-04-10,04-10,441.4,,-30.30000000000001,
3721,true,2020-04-11,04-11,440.4,,-31.30000000000001,
3722,true,2020-04-12,04-12,439.3,,-32.39999999999998,
3724,,2020-04-13,04-13,438.3,,-33.39999999999998,
3725,,2020-04-14,04-14,440.7,,-31,
3726,,2020-04-15,04-15,443,,-28.69999999999999,
3727,,2020-04-16,04-16,440.5,,-31.19999999999999,
3728,,2020-04-17,04-17,442.5,,-29.19999999999999,
3728,true,2020-04-18,04-18,440.8,,-30.899999999999977,
3729,true,2020-04-19,04-19,439,,-32.69999999999999,
3731,,2020-04-20,04-20,437.3,,-34.39999999999998,
3732,,2020-04-21,04-21,440.7,,-31,
3733,,2020-04-22,04-22,441.4,,-30.30000000000001,
3734,,2020-04-23,04-23,440.7,,-31,
3735,,2020-04-24,04-24,440.9,,-30.80000000000001,
3735,true,2020-04-25,04-25,439.7,,-32,
3736,true,2020-04-26,04-26,438.6,,-33.099999999999966,
3738,,2020-04-27,04-27,437.4,,-34.30000000000001,
3739,,2020-04-28,04-28,441.9,,-29.80000000000001,
3740,,2020-04-29,04-29,442.6,,-29.099999999999966,
3741,,2020-04-30,04-30,441.7,,-30,
3742,,2020-05-01,05-01,443.5,,-28.19999999999999,
3742,true,2020-05-02,05-02,442.9,,-28.80000000000001,
3743,true,2020-05-03,05-03,442.2,,-29.5,
3745,,2020-05-04,05-04,441.6,,-30.099999999999966,
3746,,2020-05-05,05-05,441.5,,-30.19999999999999,
3747,,2020-05-06,05-06,445.7,,-26,
3748,,2020-05-07,05-07,445.3,,-26.399999999999977,
3749,,2020-05-08,05-08,446.3,,-25.399999999999977,
3749,true,2020-05-09,05-09,443.3,,-28.399999999999977,
3750,true,2020-05-10,05-10,440.2,,-31.5,
3752,,2020-05-11,05-11,437.2,,-34.5,
3753,,2020-05-12,05-12,439.4,,-32.30000000000001,
3754,,2020-05-13,05-13,443.1,,-28.599999999999966,
3755,,2020-05-14,05-14,440.8,,-30.899999999999977,
3756,,2020-05-15,05-15,444.7,,-27,
3756,true,2020-05-16,05-16,443.6,,-28.099999999999966,
3757,true,2020-05-17,05-17,442.6,,-29.099999999999966,
3759,,2020-05-18,05-18,441.5,,-30.19999999999999,
3760,,2020-05-19,05-19,446,,-25.69999999999999,
3760,true,2020-05-20,05-20,445.4,,-26.30000000000001,
3762,,2020-05-21,05-21,444.8,,-26.899999999999977,
3762,true,2020-05-22,05-22,443.3,,-28.399999999999977,
3763,true,2020-05-23,05-23,441.8,,-29.899999999999977,
3764,true,2020-05-24,05-24,440.4,,-31.30000000000001,
3765,true,2020-05-25,05-25,438.9,,-32.80000000000001,
3767,,2020-05-26,05-26,437.4,,-34.30000000000001,
3768,,2020-05-27,05-27,440.3,,-31.399999999999977,
3769,,2020-05-28,05-28,443.6,,-28.099999999999966,
3770,,2020-05-29,05-29,446.9,,-24.80000000000001,
3770,true,2020-05-30,05-30,445.9,,-25.80000000000001,
3771,true,2020-05-31,05-31,445,,-26.69999999999999,
3772,true,2020-06-01,06-01,444,,-27.69999999999999,
3774,,2020-06-02,06-02,443,,-28.69999999999999,
3774,true,2020-06-03,06-03,445,,-26.69999999999999,
3775,true,2020-06-04,06-04,447,,-24.69999999999999,
3777,,2020-06-05,06-05,449,,-22.69999999999999,
3777,true,2020-06-06,06-06,448.8,,-22.899999999999977,
3778,true,2020-06-07,06-07,448.6,,-23.099999999999966,
3779,true,2020-06-08,06-08,448.3,,-23.399999999999977,
3780,true,2020-06-09,06-09,448.1,,-23.599999999999966,
3782,,2020-06-10,06-10,447.9,,-23.80000000000001,
3783,,2020-06-11,06-11,449.3,,-22.399999999999977,
3783,true,2020-06-12,06-12,448.9,,-22.80000000000001,
3784,true,2020-06-13,06-13,448.4,,-23.30000000000001,
3785,true,2020-06-14,06-14,448,,-23.69999999999999,
3786,true,2020-06-15,06-15,447.5,,-24.19999999999999,
3788,,2020-06-16,06-16,447.1,,-24.599999999999966,
3789,,2020-06-17,06-17,446.9,,-24.80000000000001,
3790,,2020-06-18,06-18,447.9,,-23.80000000000001,
3790,true,2020-06-19,06-19,447.5,,-24.19999999999999,
3791,true,2020-06-20,06-20,447.2,,-24.5,
3792,true,2020-06-21,06-21,446.8,,-24.899999999999977,
3793,true,2020-06-22,06-22,446.4,,-25.30000000000001,
3794,true,2020-06-23,06-23,446.1,,-25.599999999999966,
3795,true,2020-06-24,06-24,445.7,,-26,
3796,true,2020-06-25,06-25,445.3,,-26.399999999999977,
3797,true,2020-06-26,06-26,445,,-26.69999999999999,
3798,true,2020-06-27,06-27,444.6,,-27.099999999999966,
3799,true,2020-06-28,06-28,444.2,,-27.5,
3800,true,2020-06-29,06-29,443.9,,-27.80000000000001,
3802,,2020-06-30,06-30,443.5,,-28.19999999999999,
3803,,2020-07-01,07-01,447.4,,-24.30000000000001,
3803,true,2020-07-02,07-02,446.9,,-24.80000000000001,
3804,true,2020-07-03,07-03,446.5,,-25.19999999999999,
3805,true,2020-07-04,07-04,446,,-25.69999999999999,
3806,true,2020-07-05,07-05,445.6,,-26.099999999999966,
3807,true,2020-07-06,07-06,445.1,,-26.599999999999966,
3808,true,2020-07-07,07-07,444.7,,-27,
3810,,2020-07-08,07-08,444.2,,-27.5,
3810,true,2020-07-09,07-09,444.4,,-27.30000000000001,
3811,true,2020-07-10,07-10,444.5,,-27.19999999999999,
3812,true,2020-07-11,07-11,444.7,,-27,
3813,true,2020-07-12,07-12,444.8,,-26.899999999999977,
3814,true,2020-07-13,07-13,445,,-26.69999999999999,
3816,,2020-07-14,07-14,445.1,,-26.599999999999966,
3817,,2020-07-15,07-15,443.1,,-28.599999999999966,
3818,,2020-07-16,07-16,446,,-25.69999999999999,
3818,true,2020-07-17,07-17,446.1,,-25.599999999999966,
3819,true,2020-07-18,07-18,446.2,,-25.5,
3820,true,2020-07-19,07-19,446.2,,-25.5,
3821,true,2020-07-20,07-20,446.3,,-25.399999999999977,
3822,true,2020-07-21,07-21,446.4,,-25.30000000000001,
3823,true,2020-07-22,07-22,446.5,,-25.19999999999999,
3824,true,2020-07-23,07-23,446.6,,-25.099999999999966,
3825,true,2020-07-24,07-24,446.6,,-25.099999999999966,
3826,true,2020-07-25,07-25,446.7,,-25,
3827,true,2020-07-26,07-26,446.8,,-24.899999999999977,
3828,true,2020-07-27,07-27,446.9,,-24.80000000000001,
3829,true,2020-07-28,07-28,447,,-24.69999999999999,
3830,true,2020-07-29,07-29,447,,-24.69999999999999,
3831,true,2020-07-30,07-30,447.1,,-24.599999999999966,
3832,true,2020-07-31,07-31,447.2,,-24.5,
3833,true,2020-08-01,08-01,447.3,,-24.399999999999977,
3834,true,2020-08-02,08-02,447.4,,-24.30000000000001,
3835,true,2020-08-03,08-03,447.4,,-24.30000000000001,
3836,true,2020-08-04,08-04,447.5,,-24.19999999999999,
3837,true,2020-08-05,08-05,447.6,,-24.099999999999966,
3838,true,2020-08-06,08-06,447.7,,-24,
3839,true,2020-08-07,08-07,447.8,,-23.899999999999977,
3840,true,2020-08-08,08-08,447.8,,-23.899999999999977,
3841,true,2020-08-09,08-09,447.9,,-23.80000000000001,
3842,true,2020-08-10,08-10,448,,-23.69999999999999,
3843,true,2020-08-11,08-11,448.1,,-23.599999999999966,
3844,true,2020-08-12,08-12,448.1,,-23.599999999999966,
3845,true,2020-08-13,08-13,448.2,,-23.5,
3846,true,2020-08-14,08-14,448.3,,-23.399999999999977,
3847,true,2020-08-15,08-15,448.4,,-23.30000000000001,
3848,true,2020-08-16,08-16,448.5,,-23.19999999999999,
3849,true,2020-08-17,08-17,448.5,,-23.19999999999999,
3850,true,2020-08-18,08-18,448.6,,-23.099999999999966,
3851,true,2020-08-19,08-19,448.7,,-23,
3852,true,2020-08-20,08-20,448.8,,-22.899999999999977,
3853,true,2020-08-21,08-21,448.9,,-22.80000000000001,
3854,true,2020-08-22,08-22,448.9,,-22.80000000000001,
3855,true,2020-08-23,08-23,449,,-22.69999999999999,
3856,true,2020-08-24,08-24,449.1,,-22.599999999999966,
3857,true,2020-08-25,08-25,449.2,,-22.5,
3858,true,2020-08-26,08-26,449.3,,-22.399999999999977,
3859,true,2020-08-27,08-27,449.3,,-22.399999999999977,
3860,true,2020-08-28,08-28,449.4,,-22.30000000000001,
3861,true,2020-08-29,08-29,449.5,,-22.19999999999999,
3862,true,2020-08-30,08-30,449.6,,-22.099999999999966,
3863,true,2020-08-31,08-31,449.7,,-22,
3864,true,2020-09-01,09-01,449.7,,-22,
3865,true,2020-09-02,09-02,449.8,,-21.899999999999977,
3866,true,2020-09-03,09-03,449.9,,-21.80000000000001,
3867,true,2020-09-04,09-04,450,,-21.69999999999999,
3868,true,2020-09-05,09-05,450.1,,-21.599999999999966,
3869,true,2020-09-06,09-06,450.1,,-21.599999999999966,
3870,true,2020-09-07,09-07,450.2,,-21.5,
3871,true,2020-09-08,09-08,450.3,,-21.399999999999977,
3872,true,2020-09-09,09-09,450.4,,-21.30000000000001,
3873,true,2020-09-10,09-10,450.5,,-21.19999999999999,
3874,true,2020-09-11,09-11,450.5,,-21.19999999999999,
3875,true,2020-09-12,09-12,450.6,,-21.099999999999966,
3876,true,2020-09-13,09-13,450.7,,-21,
3877,true,2020-09-14,09-14,450.8,,-20.899999999999977,
3878,true,2020-09-15,09-15,450.9,,-20.80000000000001,
3879,true,2020-09-16,09-16,450.9,,-20.80000000000001,
3880,true,2020-09-17,09-17,451,,-20.69999999999999,
3881,true,2020-09-18,09-18,451.1,,-20.599999999999966,
